site,season,start,end
Bangladesh,Dry,2017-01-01,2017-05-31
Bangladesh,Rainy,2017-06-01,2017-10-31
Bangladesh,Dry,2017-11-01,2018-05-31
Bangladesh,Rainy,2018-06-01,2018-10-31
Bangladesh,Dry,2018-11-01,2019-05-31
Bangladesh,Rainy,2019-06-01,2019-10-31
Bangladesh,Dry,2019-11-01,2020-05-31
Bangladesh,Rainy,2020-06-01,2020-10-31
Bangladesh,Dry,2020-11-01,2020-12-31
Ethiopia,Dry,2017-01-01,2017-05-31
Ethiopia,Rainy,2017-06-01,2017-09-30
Ethiopia,Dry,2017-10-01,2018-05-31
Ethiopia,Rainy,2018-06-01,2018-09-30
Ethiopia,Dry,2018-10-01,2019-05-31
Ethiopia,Rainy,2019-06-01,2019-09-30
Ethiopia,Dry,2019-10-01,2020-05-31
Ethiopia,Rainy,2020-06-01,2020-09-30
Ethiopia,Dry,2020-10-01,2020-12-31
Kenya,Dry,2017-01-01,2017-03-31
Kenya,Rainy,2017-04-01,2017-06-30
Kenya,Dry,2017-07-01,2017-07-31
Kenya,Rainy,2017-08-01,2017-11-30
Kenya,Dry,2017-12-01,2017-12-31
Kenya,Dry,2018-01-01,2018-03-31
Kenya,Rainy,2018-04-01,2018-06-30
Kenya,Dry,2018-07-01,2018-07-31
Kenya,Rainy,2018-08-01,2018-11-30
Kenya,Dry,2018-12-01,2018-12-31
Kenya,Dry,2019-01-01,2019-03-31
Kenya,Rainy,2019-04-01,2019-06-30
Kenya,Dry,2019-07-01,2019-07-31
Kenya,Rainy,2019-08-01,2019-11-30
Kenya,Dry,2019-12-01,2019-12-31
Kenya,Dry,2020-01-01,2020-03-31
Kenya,Rainy,2020-04-01,2020-06-30
Kenya,Dry,2020-07-01,2020-07-31
Kenya,Rainy,2020-08-01,2020-11-30
Kenya,Dry,2020-12-01,2020-12-31
Mali,Dry,2017-01-01,2017-05-31
Mali,Rainy,2017-06-01,2017-10-31
Mali,Dry,2017-11-01,2018-05-31
Mali,Rainy,2018-06-01,2018-10-31
Mali,Dry,2018-11-01,2019-05-31
Mali,Rainy,2019-06-01,2019-10-31
Mali,Dry,2019-11-01,2020-05-31
Mali,Rainy,2020-06-01,2020-10-31
Mali,Dry,2020-11-01,2020-12-31
Mozambique,Rainy,2017-01-01,2017-04-30
Mozambique,Dry,2017-05-01,2017-10-31
Mozambique,Rainy,2017-11-01,2018-04-30
Mozambique,Dry,2018-05-01,2018-10-31
Mozambique,Rainy,2018-11-01,2019-04-30
Mozambique,Dry,2019-05-01,2019-10-31
Mozambique,Rainy,2019-11-01,2020-04-30
Mozambique,Dry,2020-05-01,2020-10-31
Mozambique,Rainy,2020-11-01,2020-12-31
Sierra Leone,Dry,2017-01-01,2017-05-31
Sierra Leone,Rainy,2017-06-01,2017-09-30
Sierra Leone,Dry,2017-10-01,2018-05-31
Sierra Leone,Rainy,2018-06-01,2018-09-30
Sierra Leone,Dry,2018-10-01,2019-05-31
Sierra Leone,Rainy,2019-06-01,2019-09-30
Sierra Leone,Dry,2019-10-01,2020-05-31
Sierra Leone,Rainy,2020-06-01,2020-09-30
Sierra Leone,Dry,2020-10-01,2020-12-31
South Africa,Rainy,2017-01-01,2017-02-28
South Africa,Dry,2017-03-01,2017-11-30
South Africa,Rainy,2017-12-01,2018-02-28
South Africa,Dry,2018-03-01,2018-11-30
South Africa,Rainy,2018-12-01,2019-02-28
South Africa,Dry,2019-03-01,2019-11-30
South Africa,Rainy,2019-12-01,2020-02-29
South Africa,Dry,2020-03-01,2020-11-30
South Africa,Rainy,2020-12-01,2020-12-31
