Champs Local Code,C Name,C Pref Name,C Code
CH00001,Yes,Yes,CH00001
CH00002,No,No,CH00002
CH00003,Unknown,Unknown,CH00003
CH00004,Not Applicable,Not Applicable,CH00004
CH00005,Not Answered,Not Answered,CH00005
CH00006,Do not know,Do not know,CH00006
CH00007,Refuse,Refuse,CH00007
CH00008,True,True,CH00008
CH00009,False,False,CH00009
CH00010,Other,Other,CH00010
CH00011,Unsure,Unsure,CH00011
CH00012,Hospital,Hospital,CH00012
CH00013,Health Center,Health Center,CH00013
CH00014,Health Post,Health Post,CH00014
CH00015,Home (own or other),Home (own or other),CH00015
CH00016,On the way to health facility,On the way to health facility,CH00016
CH00017,Other location,Other location,CH00017
CH00018,Hospital staff or health facility staff,Hospital staff or health facility staff,CH00018
CH00019,Mortuary,Mortuary,CH00019
CH00020,Demographic Surveillance System,DSS,CH00020
CH00021,Community reporter,Community reporter,CH00021
CH00022,Pregnancy surveillance,Pregnancy surveillance,CH00022
CH00023,Other source of death report,Other source of death report,CH00023
CH00024,Christian,Christian,CH00024
CH00025,Muslim,Muslim,CH00025
CH00026,Traditional African Religion,Traditional African Religion,CH00026
CH00027,Hindu,Hindu,CH00027
CH00028,Buddhist,Buddhist,CH00028
CH00029,Other religion,Other religion,CH00029
CH00030,Male,Male,CH00030
CH00031,Female,Female,CH00031
CH00032,Indeterminate,Indeterminate or Ambiguous,CH00032
CH00033,Unknown,Unknown,CH00033
CH00034,Potentially eligible: Proceeding to eligibility screening,Potentially eligible: Proceeding to eligibility screening,CH00034
CH00035,Duplicate death notification,Duplicate death notification,CH00035
CH00036,Not eligible for CHAMPS,Not eligible for CHAMPS,CH00036
CH00037,Lost to follow-up (unable to reach),Lost to follow-up,CH00037
CH00038,Mother,Mother,CH00038
CH00039,Father,Father,CH00039
CH00040,Aunt or Uncle,Aunt or Uncle,CH00040
CH00041,Grandparent,Grandparent,CH00041
CH00042,Cousin,Cousin,CH00042
CH00043,Sibling,Sibling,CH00043
CH00044,Other relative or caretaker,Other,CH00044
CH00045,DSS Individual ID,DSS Individual ID,CH00045
CH00046,DSS Household ID,DSS Household ID,CH00046
CH00047,National ID,National ID,CH00047
CH00048,Person UID,Person UID,CH00048
CH00049,Other ID,Other ID,CH00049
